date,habitat,plot,soil_t1,soil_t2,soil_t3,soil_t4,soil_t_avg,soil_m1,soil_m2,soil_m3,soil_m4,soil_m_avg,soil_ph,earthworm_count,epigeic,anecic,endogeic,adults,juveniles
9/6/2023,unmowed_grassland,1,14,14.4,14.1,14.7,14.3,6.8,7,10.2,6.6,7.65,5.44,20,11,3,0,14,6
9/6/2023,unmowed_grassland,2,14.5,14.5,14.7,14.9,14.65,11.6,9.8,9.8,7.6,9.7,5.54,13,9,3,0,12,1
9/6/2023,unmowed_grassland,3,14.9,14.8,14.8,15.1,14.9,5,10.9,19.6,14.5,12.5,5.26,17,12,1,1,14,3
9/6/2023,unmowed_grassland,4,14.3,14.2,14,14.7,14.3,13.6,12.2,5.8,8.4,10,5.57,13,6,5,0,11,2
9/6/2023,unmowed_grassland,5,15.2,15.2,15.8,15.1,15.325,11,15.6,9.4,26.4,15.6,6.13,19,8,3,1,12,7
9/6/2023,unmowed_grassland,6,14.9,14.9,16.2,15.3,15.325,9.6,13,5.8,9,9.35,5.96,21,8,3,2,13,8
9/6/2023,unmowed_grassland,7,14.5,14.3,14.4,14,14.3,8.8,12.5,14,14.2,12.375,5.67,37,12,6,4,22,15
9/6/2023,unmowed_grassland,8,15.5,17.6,14.9,15,15.75,17.5,9.4,12.9,9.8,12.4,5.31,9,1,2,0,3,6
9/6/2023,unmowed_grassland,9,15.7,15,14.7,15,15.1,7.8,13.8,18.9,9.9,12.6,5.93,50,21,7,3,31,19
9/6/2023,unmowed_grassland,10,15.7,16.5,15,15.3,15.625,9.3,12.8,13.9,17.2,13.3,5.84,6,3,1,0,4,2
9/6/2023,unmowed_grassland,11,16.5,14.8,17.2,16.1,16.15,8.2,6.2,12,9.3,8.925,5.34,24,4,1,0,5,19
9/6/2023,unmowed_grassland,12,16,15.5,16.1,16.6,16.05,13.3,7.4,12.4,7.6,10.175,5.21,17,2,3,0,5,12
9/6/2023,unmowed_grassland,13,15.5,15.9,15.4,15.3,15.525,11.4,5.4,17.4,11.8,11.5,5.53,27,2,2,0,4,23
9/6/2023,unmowed_grassland,14,15.3,15.1,15.4,15.2,15.25,9,7.4,14.1,13,10.875,5.36,15,2,1,0,3,12
9/6/2023,unmowed_grassland,15,16.3,16.1,15.5,16.8,16.175,15.2,8.9,12.4,14.5,12.75,5.57,22,0,5,0,5,17
9/7/2023,mowed_grassland,1,15.3,15.6,15.3,15.5,15.425,6.9,7.5,10.6,10.2,8.8,5.84,23,7,4,0,11,12
9/7/2023,mowed_grassland,2,14.5,14.4,14.4,14.3,14.4,12.1,9,10,13.9,11.25,5.34,36,20,5,1,26,10
9/7/2023,mowed_grassland,3,14.2,14.3,14.8,14.6,14.475,13.5,11.6,13.4,10.3,12.2,5.14,4,1,0,0,1,3
9/7/2023,mowed_grassland,4,15,15.3,15.2,15.5,15.25,9.6,11.4,6.6,11.5,9.775,6.48,10,8,0,1,9,1
9/7/2023,mowed_grassland,5,15.2,15.1,14.8,15.1,15.05,11.8,15.9,10.6,15.4,13.425,6.07,9,4,0,0,4,5
9/7/2023,mowed_grassland,6,15.5,15.2,15.4,15.3,15.35,7.1,8.9,8.3,5.6,7.475,5.08,6,1,0,2,3,3
9/7/2023,mowed_grassland,7,15.1,15.4,15.2,15.3,15.25,9,8.8,7,9.2,8.5,5.3,23,9,1,2,12,11
9/7/2023,mowed_grassland,8,15.1,15.1,14.9,14.7,14.95,6.4,6.3,8.5,11.8,8.25,5.25,18,9,1,2,12,6
9/7/2023,mowed_grassland,9,15.3,15.5,15.5,15.1,15.35,17.3,18.8,12.9,22.6,17.9,5.19,12,2,2,6,10,2
9/7/2023,mowed_grassland,10,15.1,15.2,15.3,15,15.15,18.8,15.8,16.4,18,17.25,5.05,23,11,2,1,14,9
9/7/2023,mowed_grassland,11,16.5,17.3,17.2,16.8,16.95,17.1,19.2,17.9,9,15.8,4.86,15,3,2,0,5,10
9/7/2023,mowed_grassland,12,16,16.1,15.8,15.9,15.95,16.8,17.2,15.8,15,16.2,5.14,24,4,2,0,6,18
9/7/2023,mowed_grassland,13,16,15.6,15.7,16,15.825,17.5,18.7,14.8,21.4,18.1,5.02,14,5,1,1,7,7
9/7/2023,mowed_grassland,14,16.4,16.3,16.5,16.2,16.35,18.8,18.6,17.4,19.9,18.675,4.97,10,0,0,2,2,8
9/7/2023,mowed_grassland,15,16,15.9,15.7,15.5,15.775,17.6,13.2,14.3,12,14.275,5.02,10,6,1,1,8,2
9/4/2023,mixed_woodland,1,12,11.7,11.7,12.6,12,14.4,23.9,14.8,32.6,21.425,2.98,0,0,0,0,0,0
9/4/2023,mixed_woodland,2,12.6,14.1,13.5,12.6,13.2,15.6,21.2,15.2,21.4,18.35,3.44,0,0,0,0,0,0
9/4/2023,mixed_woodland,3,11.6,11.1,11.9,10.9,11.375,31.3,0,0,0,7.825,3,0,0,0,0,0,0
9/4/2023,mixed_woodland,4,10.9,10.7,11.1,10.9,10.9,23.3,37.8,21.9,31.4,28.6,2.97,0,0,0,0,0,0
9/4/2023,mixed_woodland,5,12,11.9,12.8,11.9,12.15,24,32.2,31.8,21.8,27.45,2.98,0,0,0,0,0,0
9/4/2023,mixed_woodland,6,12,12,12.3,11.8,12.025,16.5,26.8,22.2,12,19.375,3.11,0,0,0,0,0,0
